userid,scene,bitrate,speed,choice,speed_label
fy277,school,2000,1.0,1,Slow
fy277,makeway,2000,2.0,1,Fast
fy277,makeway,1000,1.5,1,Medium
fy277,makeway,4000,1.5,1,Medium
fy277,rogue,2000,1.5,1,Medium
fy277,rogue,4000,2.0,0,Fast
fy277,rogue,1000,2.0,1,Fast
fy277,school,4000,1.5,0,Medium
fy277,school,1000,1.5,1,Medium
fy277,makeway,8000,1.5,0,Medium
fy277,rogue,8000,2.0,1,Fast
fy277,school,8000,1.0,1,Slow
fy277,school,2000,1.5,1,Medium
fy277,rogue,2000,2.0,1,Fast
fy277,makeway,1000,2.0,1,Fast
fy277,rogue,4000,1.5,1,Medium
fy277,makeway,4000,2.0,1,Fast
fy277,school,1000,1.0,1,Slow
fy277,school,4000,1.0,0,Slow
fy277,rogue,1000,1.5,1,Medium
fy277,makeway,8000,2.0,1,Fast
fy277,makeway,2000,1.5,1,Medium
fy277,school,8000,1.5,1,Medium
fy277,rogue,8000,1.5,1,Medium
