userid,scene,bitrate,speed,choice,speed_label
yj367,makeway,8000,2.0,1,Fast
yj367,school,4000,1.0,1,Slow
yj367,school,4000,1.5,1,Medium
yj367,makeway,4000,2.0,1,Fast
yj367,school,2000,1.5,0,Medium
yj367,makeway,4000,1.5,0,Medium
yj367,rogue,4000,1.5,0,Medium
yj367,rogue,8000,1.5,1,Medium
yj367,school,1000,1.5,1,Medium
yj367,makeway,8000,1.5,1,Medium
yj367,school,2000,1.0,1,Slow
yj367,school,8000,1.5,0,Medium
yj367,makeway,1000,1.5,1,Medium
yj367,makeway,1000,2.0,1,Fast
yj367,makeway,2000,1.5,1,Medium
yj367,rogue,2000,2.0,1,Fast
yj367,rogue,2000,1.5,1,Medium
yj367,rogue,8000,2.0,0,Fast
yj367,school,1000,1.0,1,Slow
yj367,rogue,1000,2.0,1,Fast
yj367,rogue,4000,2.0,1,Fast
yj367,makeway,2000,2.0,1,Fast
yj367,rogue,1000,1.5,1,Medium
yj367,school,8000,1.0,1,Slow
