userid,scene,bitrate,speed,choice,speed_label
jn517,sibenik,2000,2.0,1,Fast
jn517,breakfastroom,8000,1.0,0,Slow
jn517,rogue,2000,2.0,1,Fast
jn517,sibenik,4000,2.0,1,Fast
jn517,sibenik,4000,2.0,1,Fast
jn517,salledebain,2000,1.5,1,Medium
jn517,school,1000,1.5,1,Medium
jn517,sibenik,1000,2.0,1,Fast
jn517,makeway,8000,2.0,0,Fast
jn517,breakfastroom,2000,1.0,1,Slow
jn517,rogue,8000,2.0,1,Fast
jn517,school,2000,1.5,1,Medium
jn517,salledebain,1000,1.5,1,Medium
jn517,salledebain,4000,1.5,1,Medium
jn517,rogue,2000,1.5,1,Medium
jn517,salledebain,4000,1.0,1,Slow
jn517,rogue,8000,1.5,1,Medium
jn517,rogue,4000,1.5,1,Medium
jn517,school,8000,1.5,1,Medium
jn517,salledebain,2000,1.5,1,Medium
jn517,school,1000,1.0,1,Slow
jn517,school,4000,1.5,1,Medium
jn517,salledebain,4000,1.5,0,Medium
jn517,sibenik,8000,2.0,1,Fast
jn517,breakfastroom,8000,1.0,0,Slow
jn517,breakfastroom,1000,1.0,1,Slow
jn517,school,8000,1.0,1,Slow
jn517,makeway,2000,1.5,1,Medium
jn517,rogue,4000,2.0,1,Fast
jn517,sibenik,2000,2.0,1,Fast
jn517,salledebain,8000,1.5,0,Medium
jn517,makeway,8000,1.5,1,Medium
jn517,makeway,2000,2.0,1,Fast
jn517,breakfastroom,4000,1.0,1,Slow
jn517,salledebain,1000,1.5,1,Medium
jn517,salledebain,8000,1.0,0,Slow
jn517,sibenik,2000,2.0,1,Fast
jn517,sibenik,8000,2.0,1,Fast
jn517,breakfastroom,2000,1.0,1,Slow
jn517,breakfastroom,1000,1.0,1,Slow
jn517,school,4000,1.0,1,Slow
jn517,makeway,1000,1.5,1,Medium
jn517,breakfastroom,4000,1.0,1,Slow
jn517,sibenik,8000,2.0,0,Fast
jn517,breakfastroom,8000,1.0,1,Slow
jn517,makeway,1000,2.0,1,Fast
jn517,rogue,1000,1.5,1,Medium
jn517,breakfastroom,2000,1.0,1,Slow
jn517,sibenik,1000,2.0,1,Fast
jn517,salledebain,8000,1.5,1,Medium
jn517,sibenik,1000,2.0,1,Fast
jn517,rogue,1000,2.0,1,Fast
jn517,breakfastroom,1000,1.0,1,Slow
jn517,makeway,4000,2.0,1,Fast
jn517,salledebain,1000,1.0,1,Slow
jn517,makeway,4000,1.5,1,Medium
jn517,breakfastroom,4000,1.0,1,Slow
jn517,sibenik,4000,2.0,1,Fast
jn517,salledebain,2000,1.0,1,Slow
jn517,school,2000,1.0,1,Slow
