userid,scene,bitrate,speed,choice,speed_label
rdmm2,school,4000,1.5,1,Medium
rdmm2,sibenik,4000,2.0,1,Fast
rdmm2,salledebain,4000,1.0,0,Slow
rdmm2,salledebain,2000,1.5,1,Medium
rdmm2,breakfastroom,8000,1.0,0,Slow
rdmm2,breakfastroom,8000,1.0,0,Slow
rdmm2,rogue,4000,1.5,1,Medium
rdmm2,sibenik,1000,2.0,1,Fast
rdmm2,sibenik,8000,2.0,1,Fast
rdmm2,salledebain,2000,1.5,1,Medium
rdmm2,salledebain,1000,1.5,1,Medium
rdmm2,rogue,2000,2.0,1,Fast
rdmm2,breakfastroom,4000,1.0,0,Slow
rdmm2,salledebain,1000,1.0,1,Slow
rdmm2,sibenik,2000,2.0,1,Fast
rdmm2,salledebain,4000,1.5,0,Medium
rdmm2,salledebain,8000,1.5,1,Medium
rdmm2,breakfastroom,1000,1.0,1,Slow
rdmm2,salledebain,1000,1.5,1,Medium
rdmm2,sibenik,4000,2.0,1,Fast
rdmm2,sibenik,2000,2.0,1,Fast
rdmm2,breakfastroom,4000,1.0,1,Slow
rdmm2,school,2000,1.0,1,Slow
rdmm2,makeway,2000,1.5,1,Medium
rdmm2,makeway,8000,1.5,1,Medium
rdmm2,sibenik,1000,2.0,1,Fast
rdmm2,sibenik,1000,2.0,1,Fast
rdmm2,rogue,8000,1.5,1,Medium
rdmm2,makeway,2000,2.0,1,Fast
rdmm2,sibenik,8000,2.0,1,Fast
rdmm2,sibenik,4000,2.0,1,Fast
rdmm2,salledebain,8000,1.0,0,Slow
rdmm2,rogue,2000,1.5,1,Medium
rdmm2,breakfastroom,2000,1.0,1,Slow
rdmm2,school,8000,1.5,0,Medium
rdmm2,breakfastroom,8000,1.0,1,Slow
rdmm2,sibenik,2000,2.0,1,Fast
rdmm2,school,1000,1.5,1,Medium
rdmm2,makeway,1000,2.0,1,Fast
rdmm2,school,1000,1.0,1,Slow
rdmm2,rogue,8000,2.0,1,Fast
rdmm2,school,2000,1.5,1,Medium
rdmm2,makeway,4000,1.5,1,Medium
rdmm2,sibenik,8000,2.0,1,Fast
rdmm2,rogue,4000,2.0,1,Fast
rdmm2,breakfastroom,2000,1.0,1,Slow
rdmm2,rogue,1000,2.0,1,Fast
rdmm2,breakfastroom,2000,1.0,1,Slow
rdmm2,makeway,1000,1.5,1,Medium
rdmm2,salledebain,8000,1.5,0,Medium
rdmm2,school,8000,1.0,1,Slow
rdmm2,breakfastroom,4000,1.0,0,Slow
rdmm2,salledebain,2000,1.0,1,Slow
rdmm2,rogue,1000,1.5,1,Medium
rdmm2,makeway,8000,2.0,1,Fast
rdmm2,breakfastroom,1000,1.0,1,Slow
rdmm2,makeway,4000,2.0,1,Fast
rdmm2,school,4000,1.0,1,Slow
rdmm2,breakfastroom,1000,1.0,1,Slow
rdmm2,salledebain,4000,1.5,1,Medium
