userid,scene,bitrate,speed,choice,speed_label
yy601,salledebain,1000,1.5,1,Medium
yy601,makeway,2000,2.0,1,Fast
yy601,makeway,1000,1.5,1,Medium
yy601,sibenik,2000,2.0,1,Fast
yy601,breakfastroom,8000,1.0,1,Slow
yy601,school,1000,1.5,1,Medium
yy601,school,1000,1.0,1,Slow
yy601,sibenik,2000,2.0,1,Fast
yy601,school,8000,1.5,1,Medium
yy601,salledebain,2000,1.0,1,Slow
yy601,sibenik,8000,2.0,0,Fast
yy601,breakfastroom,1000,1.0,1,Slow
yy601,sibenik,8000,2.0,1,Fast
yy601,salledebain,2000,1.5,1,Medium
yy601,sibenik,8000,2.0,0,Fast
yy601,sibenik,4000,2.0,1,Fast
yy601,breakfastroom,4000,1.0,1,Slow
yy601,breakfastroom,8000,1.0,0,Slow
yy601,makeway,8000,1.5,1,Medium
yy601,salledebain,4000,1.5,1,Medium
yy601,salledebain,8000,1.5,1,Medium
yy601,breakfastroom,1000,1.0,1,Slow
yy601,school,8000,1.0,1,Slow
yy601,breakfastroom,2000,1.0,1,Slow
yy601,breakfastroom,1000,1.0,1,Slow
yy601,rogue,2000,1.5,1,Medium
yy601,makeway,4000,1.5,1,Medium
yy601,rogue,8000,2.0,1,Fast
yy601,salledebain,2000,1.5,1,Medium
yy601,sibenik,2000,2.0,1,Fast
yy601,rogue,4000,1.5,1,Medium
yy601,breakfastroom,8000,1.0,1,Slow
yy601,makeway,4000,2.0,1,Fast
yy601,salledebain,4000,1.0,1,Slow
yy601,school,4000,1.0,1,Slow
yy601,salledebain,8000,1.0,0,Slow
yy601,breakfastroom,2000,1.0,1,Slow
yy601,salledebain,4000,1.5,1,Medium
yy601,sibenik,4000,2.0,1,Fast
yy601,makeway,2000,1.5,1,Medium
yy601,breakfastroom,4000,1.0,1,Slow
yy601,rogue,1000,2.0,1,Fast
yy601,sibenik,1000,2.0,1,Fast
yy601,school,4000,1.5,0,Medium
yy601,makeway,1000,2.0,1,Fast
yy601,rogue,8000,1.5,1,Medium
yy601,sibenik,1000,2.0,1,Fast
yy601,salledebain,1000,1.0,1,Slow
yy601,breakfastroom,4000,1.0,1,Slow
yy601,rogue,2000,2.0,1,Fast
yy601,salledebain,8000,1.5,1,Medium
yy601,salledebain,1000,1.5,1,Medium
yy601,rogue,1000,1.5,1,Medium
yy601,school,2000,1.0,1,Slow
yy601,rogue,4000,2.0,1,Fast
yy601,school,2000,1.5,1,Medium
yy601,makeway,8000,2.0,1,Fast
yy601,sibenik,4000,2.0,1,Fast
yy601,breakfastroom,2000,1.0,1,Slow
yy601,sibenik,1000,2.0,1,Fast
