userid,scene,bitrate,speed,choice,speed_label
dk721,breakfastroom,2000,1.0,1,Slow
dk721,breakfastroom,1000,1.0,1,Slow
dk721,salledebain,4000,1.0,1,Slow
dk721,salledebain,1000,1.5,1,Medium
dk721,makeway,8000,1.5,1,Medium
dk721,breakfastroom,4000,1.0,1,Slow
dk721,school,1000,1.0,1,Slow
dk721,salledebain,4000,1.5,1,Medium
dk721,salledebain,2000,1.5,1,Medium
dk721,school,4000,1.0,1,Slow
dk721,breakfastroom,2000,1.0,1,Slow
dk721,breakfastroom,8000,1.0,1,Slow
dk721,sibenik,8000,2.0,0,Fast
dk721,sibenik,2000,2.0,1,Fast
dk721,breakfastroom,1000,1.0,1,Slow
dk721,salledebain,8000,1.5,1,Medium
dk721,makeway,4000,1.5,1,Medium
dk721,sibenik,8000,2.0,1,Fast
dk721,sibenik,2000,2.0,1,Fast
dk721,breakfastroom,2000,1.0,1,Slow
dk721,rogue,1000,2.0,1,Fast
dk721,school,1000,1.5,1,Medium
dk721,rogue,2000,1.5,1,Medium
dk721,salledebain,1000,1.5,1,Medium
dk721,school,4000,1.5,1,Medium
dk721,sibenik,1000,2.0,1,Fast
dk721,salledebain,1000,1.0,1,Slow
dk721,rogue,8000,2.0,1,Fast
dk721,makeway,2000,1.5,1,Medium
dk721,salledebain,8000,1.0,1,Slow
dk721,makeway,1000,2.0,1,Fast
dk721,salledebain,4000,1.5,1,Medium
dk721,rogue,4000,1.5,1,Medium
dk721,sibenik,2000,2.0,1,Fast
dk721,school,8000,1.0,1,Slow
dk721,rogue,4000,2.0,1,Fast
dk721,breakfastroom,4000,1.0,1,Slow
dk721,makeway,1000,1.5,1,Medium
dk721,school,8000,1.5,1,Medium
dk721,sibenik,8000,2.0,1,Fast
dk721,rogue,1000,1.5,1,Medium
dk721,sibenik,4000,2.0,1,Fast
dk721,school,2000,1.5,1,Medium
dk721,salledebain,2000,1.5,1,Medium
dk721,breakfastroom,8000,1.0,0,Slow
dk721,sibenik,4000,2.0,1,Fast
dk721,sibenik,4000,2.0,1,Fast
dk721,makeway,4000,2.0,1,Fast
dk721,rogue,8000,1.5,1,Medium
dk721,makeway,8000,2.0,1,Fast
dk721,breakfastroom,1000,1.0,1,Slow
dk721,salledebain,2000,1.0,1,Slow
dk721,makeway,2000,2.0,1,Fast
dk721,salledebain,8000,1.5,1,Medium
dk721,sibenik,1000,2.0,1,Fast
dk721,sibenik,1000,2.0,1,Fast
dk721,breakfastroom,4000,1.0,1,Slow
dk721,school,2000,1.0,1,Slow
dk721,rogue,2000,2.0,1,Fast
dk721,breakfastroom,8000,1.0,1,Slow
