userid,scene,bitrate,speed,choice,speed_label
ajkm4,salledebain,2000,1.5,1,Medium
ajkm4,breakfastroom,1000,1.0,1,Slow
ajkm4,salledebain,1000,1.5,1,Medium
ajkm4,breakfastroom,8000,1.0,0,Slow
ajkm4,breakfastroom,8000,1.0,1,Slow
ajkm4,school,1000,1.5,1,Medium
ajkm4,breakfastroom,4000,1.0,1,Slow
ajkm4,breakfastroom,4000,1.0,1,Slow
ajkm4,breakfastroom,1000,1.0,1,Slow
ajkm4,rogue,4000,1.5,0,Medium
ajkm4,makeway,2000,2.0,1,Fast
ajkm4,salledebain,2000,1.5,1,Medium
ajkm4,school,2000,1.5,1,Medium
ajkm4,sibenik,4000,2.0,1,Fast
ajkm4,school,4000,1.0,1,Slow
ajkm4,makeway,8000,2.0,0,Fast
ajkm4,sibenik,1000,2.0,1,Fast
ajkm4,rogue,1000,1.5,1,Medium
ajkm4,salledebain,8000,1.5,0,Medium
ajkm4,sibenik,8000,2.0,1,Fast
ajkm4,school,4000,1.5,1,Medium
ajkm4,school,2000,1.0,1,Slow
ajkm4,school,1000,1.0,1,Slow
ajkm4,sibenik,1000,2.0,1,Fast
ajkm4,breakfastroom,2000,1.0,1,Slow
ajkm4,breakfastroom,8000,1.0,1,Slow
ajkm4,salledebain,8000,1.5,1,Medium
ajkm4,makeway,4000,1.5,0,Medium
ajkm4,school,8000,1.5,0,Medium
ajkm4,sibenik,8000,2.0,1,Fast
ajkm4,breakfastroom,4000,1.0,1,Slow
ajkm4,sibenik,2000,2.0,1,Fast
ajkm4,sibenik,4000,2.0,1,Fast
ajkm4,sibenik,1000,2.0,1,Fast
ajkm4,salledebain,8000,1.0,1,Slow
ajkm4,makeway,2000,1.5,1,Medium
ajkm4,rogue,2000,2.0,1,Fast
ajkm4,makeway,4000,2.0,1,Fast
ajkm4,rogue,1000,2.0,1,Fast
ajkm4,sibenik,2000,2.0,1,Fast
ajkm4,salledebain,4000,1.5,1,Medium
ajkm4,makeway,1000,1.5,1,Medium
ajkm4,salledebain,1000,1.5,1,Medium
ajkm4,makeway,1000,2.0,1,Fast
ajkm4,sibenik,4000,2.0,1,Fast
ajkm4,school,8000,1.0,1,Slow
ajkm4,salledebain,4000,1.5,0,Medium
ajkm4,rogue,4000,2.0,1,Fast
ajkm4,breakfastroom,2000,1.0,1,Slow
ajkm4,rogue,2000,1.5,1,Medium
ajkm4,sibenik,8000,2.0,1,Fast
ajkm4,salledebain,4000,1.0,1,Slow
ajkm4,rogue,8000,2.0,1,Fast
ajkm4,breakfastroom,2000,1.0,1,Slow
ajkm4,makeway,8000,1.5,1,Medium
ajkm4,salledebain,1000,1.0,1,Slow
ajkm4,rogue,8000,1.5,1,Medium
ajkm4,sibenik,2000,2.0,1,Fast
ajkm4,breakfastroom,1000,1.0,1,Slow
ajkm4,salledebain,2000,1.0,1,Slow
