userid,scene,bitrate,speed,choice
hl674,school,8mbps,school1_8mbps,0
hl674,rogue,8mbps,rogue2_8mbps,1
hl674,makeway,2mbps,makeway1_2mbps,1
hl674,school,4mbps,school1_4mbps,0
hl674,makeway,4mbps,makeway1_4mbps,1
hl674,rogue,4mbps,rogue2_4mbps,1
hl674,rogue,1mbps,rogue1_1mbps,1
hl674,school,8mbps,school2_8mbps,0
hl674,school,1mbps,school1_1mbps,1
hl674,school,1mbps,school2_1mbps,1
hl674,school,2mbps,school2_2mbps,1
hl674,makeway,1mbps,makeway2_1mbps,1
hl674,rogue,1mbps,rogue2_1mbps,1
hl674,makeway,1mbps,makeway1_1mbps,1
hl674,school,2mbps,school1_2mbps,0
hl674,makeway,2mbps,makeway2_2mbps,0
hl674,rogue,2mbps,rogue2_2mbps,1
hl674,rogue,2mbps,rogue1_2mbps,1
hl674,school,4mbps,school2_4mbps,0
hl674,makeway,8mbps,makeway2_8mbps,0
hl674,rogue,4mbps,rogue1_4mbps,1
hl674,makeway,8mbps,makeway1_8mbps,1
hl674,makeway,4mbps,makeway2_4mbps,0
hl674,rogue,8mbps,rogue1_8mbps,1
